1;Адыгейский государственный университет; 71 980,80   ; 31 188,60   ; 40 792,20   ;
3;Алтайский государственный технический университет им. И.И. Ползунова; 144 734,10   ; 8 562,73   ; 136 171,37   ;
4;Алтайский государственный университет; 25 452,90   ; 0     ; 25 452,90   ;
5;Амурский государственный университет; 18 058,30   ; 2 712,13   ; 15 346,17   ;
7;Ангарский государственный технический университет; 10 000,00   ; 1 194,00   ; 8 806,00   ;
9;Астраханский государственный университет; 95 899,00   ; 1 561,35   ; 94 337,65   ;
10;Байкальский государственный университет; 14 250,00   ; 599,98   ; 13 650,02   ;
11;Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова; 23 802,80   ; 123,30   ; 23 679,50   ;
13;Башкирский государственный университет; 32 601,00   ; 18 270,56   ; 14 330,44   ;
14;Белгородский государственный технологический университет им. В.Г.Шухова; 53 785,97   ; 10 547,83   ; 43 238,14   ;
15;Белгородский государственный национальный исследовательский университет; 25 654,20   ; 20 178,95   ; 5 475,25   ;
18;Братский государственный университет; 93 799,40   ; 46 468,57   ; 47 330,83   ;
19;Брянский государственный инженерно0технологический университет; 50 579,30   ; 11 914,99   ; 38 664,31   ;
20;Брянский государственный технический университет; 35 700,31   ; 13 831,10   ; 21 869,21   ;
21;Брянский государственный университет имени академика И.Г. Петровского; 14 250,00   ; 0     ; 14 250,00   ;
22;Бурятский государственный университет имени Доржи Банзарова; 79 018,30   ; 30 090,44   ; 48 927,86   ;
24;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых; 46 087,40   ; 32 634,40   ; 13 453,00   ;
27;Волгоградский государственный технический университет; 200 000,00   ; 5 201,44   ; 194 798,56   ;
28;Волгоградский государственный университет; 16 969,60   ; 0     ; 16 969,60   ;
29;Вологодский государственный университет; 151 088,90   ; 9 179,57   ; 141 909,33   ;
30;Воронежский государственный лесотехнический университет имени Г.Ф. Морозова; 63 414,80   ; 6 059,37   ; 57 355,43   ;
31;Воронежский государственный университет инженерных технологий; 40 558,60   ; 6 102,90   ; 34 455,70   ;
34;Воронежский государственный технический университет; 199 943,60   ; 77 601,11   ; 122 342,49   ;
35;Воронежский государственный университет; 41 827,40   ; 41 827,40   ; 0     ;
36;Восточно0Сибирский государственный университет технологий и управления; 105 942,20   ; 11 381,81   ; 94 560,39   ;
37;Высшая школа народных искусств (академия); 12 676,80   ; 352,86   ; 12 323,94   ;
39;Вятский государственный университет; 39 805,40   ; 31 580,00   ; 8 225,40   ;
40;Гжельский государственный университет; 10 000,00   ; 303,86   ; 9 696,14   ;
42;Горно0Алтайский государственный университет; 50 579,30   ; 10 017,87   ; 40 561,43   ;
47;Государственный институт русского языка им. А.С. Пушкина; 50 579,30   ; 0     ; 50 579,30   ;
48;Национальный исследовательский технологический университет «МИСиС»; 115 418,10   ; 20 564,97   ; 94 853,13   ;
49;Государственный университет управления; 13 342,60   ; 8 321,63   ; 5 020,97   ;
50;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова; 18 874,70   ; 7 979,35   ; 10 895,35   ;
52;Дагестанский государственный технический университет; 12 452,40   ; 8 837,98   ; 3 614,42   ;
53;Дагестанский государственный университет; 200 000,00   ; 31 146,64   ; 168 853,36   ;
59;Ивановский государственный энергетический университет имени В.И. Ленина; 14 742,30   ; 2 135,85   ; 12 606,45   ;
55;Донской государственный технический университет; 0     ; 0     ; 0     ;
56;Елецкий государственный университет им. И.А. Бунина; 12 750,00   ; 1 326,84   ; 11 423,16   ;
57;Ивановский государственный университет; 21 235,60   ; 14 867,67   ; 6 367,93   ;
58;Ивановский государственный химико0технологический университет; 18 969,50   ; 2 237,82   ; 16 731,68   ;
60;Ижевский государственный технический университет имени М.Т. Калашникова; 163 292,60   ; 27 721,14   ; 135 571,46   ;
61;Ингушский государственный университет; 93 096,50   ; 5 339,56   ; 87 756,94   ;
62;Иркутский национальный исследовательский технический университет; 107 320,40   ; 51 554,84   ; 55 765,56   ;
63;Иркутский государственный университет; 37 903,60   ; 14 760,99   ; 23 142,61   ;
64;Кабардино0Балкарский государственный университет им. Х.М. Бербекова; 39 977,70   ; 6 703,96   ; 33 273,74   ;
65;Казанский государственный архитектурно0строительный университет; 78 180,10   ; 11 664,88   ; 66 515,22   ;
66;Казанский национальный исследовательский технический университет им. А.Н. Туполева0КАИ; 34 685,00   ; 3 924,26   ; 30 760,74   ;
67;Казанский национальный исследовательский технологический университет; 48 977,10   ; 48 977,10   ; 0     ;
68;Казанский государственный энергетический университет; 92 705,80   ; 14 166,77   ; 78 539,03   ;
69;Калмыцкий государственный университет имени Б.Б. Городовикова; 100 738,40   ; 8 121,43   ; 92 616,97   ;
70;Калужский государственный университет им. К.Э. Циолковского; 0     ; 0     ; 0     ;
71;Камчатский государственный университет имени Витуса Беринга; 6 765,97   ; 0     ; 6 765,97   ;
72;Северо0Кавказская государственная академия; 21 115,60   ; 14 872,55   ; 6 243,05   ;
73;Карачаево0Черкесский государственный университет имени У. Д. Алиева; 50 579,30   ; 13 464,59   ; 37 114,71   ;
74;Кемеровский государственный университет; 182 577,20   ; 99 293,71   ; 83 283,49   ;
76;Ковровская государственная технологическая академия имени В.А. Дегтярева; 10 000,00   ; 797,89   ; 9 202,11   ;
77;Комсомольский0на0Амуре государственный университет; 28 478,23   ; 11 272,53   ; 17 205,70   ;
78;Костромской государственный университет; 84 154,60   ; 64 593,40   ; 19 561,20   ;
81;Кубанский государственный технологический университет; 15 716,40   ; 3 700,00   ; 12 016,40   ;
82;Кубанский государственный университет; 45 545,60   ; 9 723,79   ; 35 821,81   ;
83;Кузбасский государственный технический университет имени Т.Ф. Горбачева; 31 344,20   ; 5 509,51   ; 25 834,69   ;
84;Курганский государственный университет; 32 708,97   ; 11 062,37   ; 21 646,60   ;
85;Юго0Западный государственный университет; 103 442,20   ; 2 415,56   ; 101 026,64   ;
86;Курский государственный университет; 12 468,00   ; 3 349,54   ; 9 118,46   ;
88;Липецкий государственный технический университет; 30 815,02   ; 8 968,22   ; 21 846,80   ;
90;Майкопский государственный технологический университет; 11 648,30   ; 0     ; 11 648,30   ;
91;Поволжский государственный технологический университет; 22 641,30   ; 14 347,83   ; 8 293,47   ;
92;Марийский государственный университет; 97 256,70   ; 43 319,01   ; 53 937,69   ;
94;Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва; 32 318,10   ; 32 280,41   ; 37,69   ;
97;Московский авиационный институт (национальный исследовательский университет); 84 989,40   ; 17 060,95   ; 67 928,45   ;
98;Московский автомобильно0дорожный государственный технический университет (МАДИ); 29 695,60   ; 27 946,00   ; 1 749,60   ;
99;Московский архитектурный институт (государственная академия); 50 579,30   ; 2 360,79   ; 48 218,51   ;
100;МИРЭА 0 Российский технологический университет; 181 586,70   ; 99 809,34   ; 81 777,36   ;
101;Национальный исследовательский университет «Московский институт электронной техники»; 0     ; 0     ; 0     ;
102;Московский государственный лингвистический университет; 50 579,30   ; 360,21   ; 50 219,09   ;
104;Национальный исследовательский Московский государственный строительный университет; 58 859,50   ; 29 614,70   ; 29 244,80   ;
107;Московский государственный технологический университет «СТАНКИН»; 25 550,70   ; 25 550,67   ; 0     ;
108;Московский государственный университет геодезии и картографии; 13 486,30   ; 5 918,93   ; 7 567,37   ;
