1;Адыгейский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
2;Алтайский государственный педагогический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
3;Алтайский государственный технический университет им. И.И. Ползунова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
4;Алтайский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
5;Амурский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
6;Амурский гуманитарно-педагогический государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
7;Ангарский государственный технический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
8;Армавирский государственный педагогический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
9;Астраханский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
10;Байкальский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
11;Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
12;Башкирский государственный педагогический университет им. М. Акмуллы;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
13;Башкирский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
14;Белгородский государственный технологический университет им. В.Г.Шухова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
15;Белгородский государственный национальный исследовательский университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
16;Алтайский государственный гуманитарно-педагогический университет имени В.М. Шукшина;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
17;Благовещенский государственный педагогический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
18;Братский государственный университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
19;Брянский государственный инженерно-технологический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
20;Брянский государственный технический университет;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
21;Брянский государственный университет имени академика И.Г. Петровского;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
22;Бурятский государственный университет имени Доржи Банзарова;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
23;Владивостокский государственный университет экономики и сервиса;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
24;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых;1;Министерство науки и высшего образования Российской Федерации (Минобрнауки России)
